factor,IC_mean,IC_std,ICIR,absICIR,coverage
float_share,0.03865854531597947,0.36578215743561815,0.10568734567864703,0.10568734567864703,0.8954703832752613
free_share,0.04881928301490471,0.3724503450240807,0.13107595057201063,0.13107595057201063,0.8954703832752613
total_mv,-0.003990270142327191,0.27694115461316676,-0.014408368261123293,0.014408368261123293,0.8954703832752613
circ_mv,0.003999697326492107,0.284742548026098,0.014046714669862109,0.014046714669862109,0.8954703832752613
buy_sm_vol,0.020136415255685134,0.3242347744995162,0.06210442814706533,0.06210442814706533,0.8954703832752613
buy_sm_amount,-0.006532606125265769,0.3145349203037689,-0.02076909654087617,0.02076909654087617,0.8954703832752613
sell_sm_vol,0.028003399596761194,0.3196360124525023,0.08761027702071737,0.08761027702071737,0.8954703832752613
sell_sm_amount,0.0015009163318756072,0.3146748063670848,0.004769737842071503,0.004769737842071503,0.8954703832752613
buy_md_vol,0.01790137642334453,0.33615866417941653,0.053252759279737334,0.053252759279737334,0.8954703832752613
buy_md_amount,-0.024770603947833744,0.28467255716958284,-0.08701437256235978,0.08701437256235978,0.8954703832752613
sell_md_vol,0.023079647842907593,0.33868551246148115,0.06814477441084064,0.06814477441084064,0.8954703832752613
sell_md_amount,-0.0257389902960148,0.2875266820105043,-0.08951861481528336,0.08951861481528336,0.8954703832752613
buy_lg_vol,0.02651724663252662,0.3429404369166982,0.07732318437259057,0.07732318437259057,0.8954703832752613
buy_lg_amount,-0.019027663841574952,0.295051232640597,-0.06448935553084985,0.06448935553084985,0.8954703832752613
sell_lg_vol,0.02071877841431929,0.34138617334499366,0.06069015101376579,0.06069015101376579,0.8954703832752613
sell_lg_amount,-0.02586764635134778,0.2920978604175641,-0.08855815073198098,0.08855815073198098,0.8954703832752613
buy_elg_vol,0.024068650963556787,0.33554776411596887,0.07172943329533975,0.07172943329533975,0.8954703832752613
buy_elg_amount,-0.014849902066600671,0.2875803840606587,-0.051637395628028694,0.051637395628028694,0.8954703832752613
sell_elg_vol,0.02154105193695621,0.33044683501456834,0.065187647919238,0.065187647919238,0.8954703832752613
sell_elg_amount,-0.02075084228529521,0.2835285666975206,-0.07318783615702831,0.07318783615702831,0.8954703832752613
net_mf_vol,-0.005493283421512826,0.2722884532914817,-0.02017450007559567,0.02017450007559567,0.8954703832752613
net_mf_amount,0.0005734003732141856,0.26326573007069126,0.002178028918006981,0.002178028918006981,0.8954703832752613
close_adj,-0.03879052363938648,0.26957675266876213,-0.14389417208779007,0.14389417208779007,0.9651567944250871
open_adj,-0.03809564565018966,0.26980850569187353,-0.14119512486272623,0.14119512486272623,0.9651567944250871
high_adj,-0.03904024541675409,0.26985096164510264,-0.14467336035695988,0.14467336035695988,0.9651567944250871
low_adj,-0.038101074384480266,0.26896502773503067,-0.1416580984722494,0.1416580984722494,0.9651567944250871
turnover_used,-0.04229573431556144,0.3119614007664049,-0.13558002436087363,0.13558002436087363,0.8954703832752613
log_circ_mv,0.003999697326492107,0.284742548026098,0.014046714669862109,0.014046714669862109,0.8954703832752613
amount_to_circ_mv,-0.0008719438278745037,0.3422842551565221,-0.002547426049368748,0.002547426049368748,0.8954703832752613
mf_to_amount,0.00011722436341863552,0.26816276110316545,0.00043713885901382817,0.00043713885901382817,0.8954703832752613
ret_1d_adj,-0.0013132702146554946,0.3156779502421088,-0.004160158204424109,0.004160158204424109,0.9616724738675958
mom_20d_adj,0.039533294794461986,0.31738979842351145,0.12455754718905754,0.12455754718905754,0.8954703832752613
vol_20d_adj,-0.004329470495140975,0.3087047890147979,-0.014024630161903449,0.014024630161903449,0.8954703832752613
mom_5d_adj,0.010073047264303822,0.31153352108355337,0.03233375088904872,0.03233375088904872,0.9477351916376306
mom_10d_adj,0.01311166329710601,0.31393802169945806,0.0417651332136449,0.0417651332136449,0.9303135888501742
mom_60d_adj,-0.042609476356726725,0.2736575225620192,-0.15570365454532722,0.15570365454532722,0.7735191637630662
rev_1d,0.0013132702146554946,0.3156779502421088,0.004160158204424109,0.004160158204424109,0.9616724738675958
vol_5d_adj,-0.04278489352244513,0.3020710811985295,-0.14163849565700637,0.14163849565700637,0.9477351916376306
vol_60d_adj,-0.05004386337547506,0.3142446722934333,-0.15925127070649409,0.15925127070649409,0.7735191637630662
downvol_20d,-0.0010885931530663668,0.31569892130533667,-0.003448200420087925,0.003448200420087925,0.9407665505226481
mdd_20d,0.02451095697973497,0.3031727447964149,0.08084815472510384,0.08084815472510384,0.8989547038327527
gap_1d,0.031167864208408846,0.265170126175526,0.11753912349756049,0.11753912349756049,0.9616724738675958
intraday_ret,-0.015272048110871269,0.31681136553116473,-0.04820549314973663,0.04820549314973663,0.9651567944250871
range_pct,-0.03268356921176575,0.2861709430416458,-0.11420995040369765,0.11420995040369765,0.9651567944250871
body_pct,-0.015584889652298019,0.2529996625180049,-0.061600436527020706,0.061600436527020706,0.9651567944250871
upper_shadow_pct,0.004618268917599444,0.25292291872866907,0.018259590474494863,0.018259590474494863,0.9651567944250871
lower_shadow_pct,0.013969649814332834,0.26407859139640216,0.052899592278433966,0.052899592278433966,0.9651567944250871
tr,-0.03451816692950023,0.26318888552460395,-0.13115358903054183,0.13115358903054183,0.9651567944250871
atr_14,-0.0324635223101345,0.2603910292885088,-0.12467219934126637,0.12467219934126637,0.9442508710801394
atr_14_pct,-0.02856874907701928,0.25167247181258096,-0.11351558981108695,0.11351558981108695,0.9442508710801394
rsi_14,0.0657393565616219,0.3043507119391284,0.21599869487004877,0.21599869487004877,0.9163763066202091
macd_line,0.02219190947827265,0.2919755235505499,0.07600606108487909,0.07600606108487909,0.9651567944250871
macd_signal,0.010875618202210497,0.2935648430174987,0.0370467324711707,0.0370467324711707,0.9651567944250871
macd_hist,0.06676474203064159,0.2957915020183124,0.22571555157966708,0.22571555157966708,0.9651567944250871
amihud_20d,-0.01298707386307502,0.2613777530538912,-0.04968699023285783,0.04968699023285783,0.8954703832752613
volz_20,-0.058498290615475144,0.26735991762351374,-0.21879977797513483,0.21879977797513483,0.8989547038327527
obv,0.005265743760169106,0.29685750054065385,0.017738287732595042,0.017738287732595042,0.9616724738675958
obv_20d_chg,0.0044791240858941105,0.23105888330208194,0.01938520615127439,0.01938520615127439,0.8954703832752613
ret_vol_corr_20d,-0.01613823217723342,0.2951750637925622,-0.05467342657567699,0.05467342657567699,0.8954703832752613
turn_5d_mean,-0.040615720266909114,0.31415806636805876,-0.12928434636889086,0.12928434636889086,0.8815331010452961
turn_20d_mean,-0.02980049685950972,0.31089809447682054,-0.09585294149087022,0.09585294149087022,0.8292682926829268
vol_ratio_5d_chg,-0.021471909349420157,0.26025550851581425,-0.08250318877732969,0.08250318877732969,0.8780487804878049
bp,0.050641799868158206,0.3393670766418307,0.14922425701773587,0.14922425701773587,0.8954703832752613
ep,0.02310840023305018,0.3906287401598686,0.05915693818020877,0.05915693818020877,0.8954703832752613
sp,0.054646674910308245,0.22975367931247054,0.2378489653520954,0.2378489653520954,0.8954703832752613
mf_5d_strength,0.005423996982927162,0.2561589249782697,0.0211743431675757,0.0211743431675757,0.8815331010452961
mf_20d_strength,0.030713594644681232,0.28797562865671705,0.10665345115469317,0.10665345115469317,0.8292682926829268
big_net_to_amount,0.010040738498085464,0.22375084110815893,0.04487464023981868,0.04487464023981868,0.8954703832752613
big_5d_strength,0.009218774936356354,0.22914493059671903,0.04023119740135483,0.04023119740135483,0.8815331010452961
big_20d_strength,-0.016253312645232793,0.2512880500442029,-0.06468000624133838,0.06468000624133838,0.8292682926829268
turnover_used_5d_mean,-0.040615720266909114,0.31415806636805876,-0.12928434636889086,0.12928434636889086,0.8815331010452961
turnover_used_5d_std,-0.026146594868662262,0.2878187892478465,-0.09084394711335857,0.09084394711335857,0.8815331010452961
turnover_used_5d_range,-0.022841814404652782,0.28547388045912087,-0.08001367539445932,0.08001367539445932,0.8815331010452961
turnover_used_10d_mean,-0.030484576537782398,0.31398431653354675,-0.09708948801754995,0.09708948801754995,0.8641114982578397
turnover_used_10d_std,-0.01813630545693526,0.2996204681932547,-0.060530929566658884,0.060530929566658884,0.8641114982578397
turnover_used_10d_range,-0.014828952466061453,0.2980964164972488,-0.04974549053728163,0.04974549053728163,0.8641114982578397
turnover_used_20d_mean,-0.02980049685950972,0.31089809447682054,-0.09585294149087022,0.09585294149087022,0.8292682926829268
turnover_used_20d_std,-0.02087262253129105,0.30356838277725295,-0.06875756407941401,0.06875756407941401,0.8292682926829268
turnover_used_20d_range,-0.019299397297700856,0.29400566328731914,-0.0656429440232938,0.0656429440232938,0.8292682926829268
ret_1d_adj_5d_mean,0.008505640137527583,0.3118315193359971,0.02727639641957679,0.02727639641957679,0.9477351916376306
ret_1d_adj_5d_std,-0.04278489352244513,0.3020710811985295,-0.14163849565700637,0.14163849565700637,0.9477351916376306
ret_1d_adj_5d_range,-0.04091077479068634,0.2990605670957623,-0.13679762326400688,0.13679762326400688,0.9477351916376306
ret_1d_adj_10d_mean,0.01278737827169101,0.31491794954390817,0.040605428462273475,0.040605428462273475,0.9303135888501742
ret_1d_adj_10d_std,-0.0065553867615291105,0.3122810597784344,-0.02099194477622243,0.02099194477622243,0.9303135888501742
